90,N.A,1.3,6.3067,1.17E+01,2028.15,5061,12
91,N.A,1.5,5.89,1.54E+01,1873.15,4300,14
92,N.A,1.38,6.1941,1.90E+01,1405.15,4404,15
93,N.A,1.36,6.2657,2.05E+01,913.15,4273,153
94,N.A,1.28,6.0262,1.98E+01,913.15,3501,163
95,N.A,1.3,5.9738,1.37E+01,1267.15,2880,133
96,N.A,1.3,5.9915,1.35E+01,1340.15,3383,133
97,N.A,1.3,6.1979,1.48E+01,1259.15,983,83
98,N.A,1.3,6.2817,1.51E+01,1925.15,1173,123
99,N.A,1.3,6.42,1.35E+01,1133.15,N.A,123
100,N.A,1.3,6.5,N.A,N.A,N.A,103
101,N.A,1.3,6.58,N.A,N.A,N.A,33
102,N.A,1.3,6.65,N.A,N.A,N.A,73
103,N.A,N.A,N.A,N.A,N.A,N.A,203
104,N.A,N.A,N.A,1.81E+01,N.A,N.A,N.A
105,N.A,N.A,N.A,3.90E+01,N.A,N.A,N.A
106,N.A,N.A,N.A,3.50E+01,N.A,N.A,N.A
107,N.A,N.A,N.A,3.70E+01,N.A,N.A,N.A
108,N.A,N.A,N.A,4.10E+01,N.A,N.A,N.A
109,N.A,N.A,N.A,3.50E+01,N.A,N.A,N.A
110,N.A,N.A,N.A,N.A,N.A,N.A,N.A
111,N.A,N.A,N.A,N.A,N.A,N.A,N.A
112,N.A,N.A,N.A,N.A,N.A,N.A,N.A
113,N.A,N.A,N.A,N.A,N.A,N.A,N.A
114,N.A,N.A,N.A,N.A,N.A,N.A,N.A
115,N.A,N.A,N.A,N.A,N.A,N.A,N.A
116,N.A,N.A,N.A,N.A,N.A,N.A,N.A
117,N.A,N.A,N.A,N.A,N.A,N.A,N.A
118,N.A,N.A,N.A,N.A,N.A,N.A,N.A
